890.0,3
2151.0,1
939.0,3
1167.0,1
425.0,10
919.0,4
896.0,2
163.0,66
161.0,67
314.0,24
260.0,30
153.0,60
316.0,13
917.0,2
431.0,10
262.0,26
1149.0,2
1145.0,2
177.0,56
2516.0,1
45.0,369
1143.0,1
171.0,56
439.0,10
421.0,11
1390.0,2
173.0,61
892.0,2
1289.0,1
427.0,11
429.0,8
327.0,30
1398.0,1
329.0,14
318.0,19
583.0,3
680.0,4
1543.0,1
690.0,5
692.0,1
567.0,3
694.0,2
1169.0,3
565.0,7
595.0,2
1084.0,2
569.0,8
1291.0,2
661.0,3
573.0,5
837.0,1
575.0,7
682.0,6
577.0,7
71.0,215
532.0,3
857.0,2
855.0,2
853.0,5
1561.0,1
53.0,282
845.0,2
546.0,5
51.0,296
847.0,1
75.0,183
240.0,40
579.0,8
548.0,4
77.0,190
770.0,6
821.0,1
1010.0,1
710.0,1
274.0,27
1420.0,2
712.0,1
2245.0,1
112.0,116
1400.0,1
12.0,2065
6.0,5323
762.0,4
10.0,2720
825.0,1
764.0,1
1818.0,1
16.0,1435
766.0,2
823.0,5
1537.0,1
126.0,100
723.0,4
859.0,3
116.0,89
114.0,106
212.0,42
1186.0,1
849.0,1
735.0,6
981.0,3
79.0,170
122.0,96
2479.0,1
120.0,91
768.0,2
991.0,1
1486.0,2
1079.0,1
211.0,45
1720.0,1
2338.0,1
1344.0,2
453.0,11
451.0,9
1346.0,1
930.0,3
932.0,6
15.0,1512
1164.0,2
465.0,3
6104.0,1
781.0,1
3541.0,1
118.0,76
441.0,10
1898.0,1
1352.0,1
463.0,7
2051.0,2
1661.0,1
18.0,1197
408.0,10
461.0,8
174.0,70
128.0,79
30.0,635
404.0,13
176.0,50
406.0,6
400.0,10
793.0,1
422.0,7
420.0,6
1160.0,1
470.0,7
950.0,2
1077.0,1
1190.0,1
472.0,14
1361.0,1
410.0,8
1415.0,2
100.0,109
1075.0,1
474.0,9
48.0,329
3424.0,1
7.0,4221
1267.0,1
664.0,2
666.0,3
952.0,4
590.0,7
1081.0,1
1087.0,1
596.0,1
674.0,3
344.0,21
960.0,2
610.0,3
672.0,3
659.0,4
670.0,2
198.0,35
66.0,227
1093.0,2
655.0,3
1298.0,1
196.0,55
1868.0,1
651.0,5
194.0,45
649.0,4
948.0,1
2291.0,1
1083.0,2
1248.0,1
592.0,4
643.0,4
806.0,1
40.0,447
641.0,4
42.0,390
1882.0,1
1240.0,1
647.0,4
62.0,230
1091.0,1
1510.0,1
60.0,278
3506.0,1
2240.0,1
2104.0,3
804.0,3
1584.0,1
374.0,10
741.0,5
808.0,2
828.0,1
747.0,4
826.0,2
1136.0,1
824.0,1
753.0,1
339.0,14
348.0,10
940.0,3
755.0,3
942.0,1
1588.0,2
337.0,16
219.0,34
812.0,3
376.0,13
743.0,5
1477.0,1
217.0,46
1475.0,1
209.0,37
1054.0,3
378.0,4
883.0,1
1056.0,2
946.0,3
998.0,3
201.0,39
346.0,16
394.0,19
503.0,6
994.0,1
2464.0,1
1020.0,2
992.0,2
207.0,36
342.0,11
1024.0,2
364.0,20
215.0,40
1315.0,2
874.0,2
515.0,5
233.0,35
1148.0,1
1335.0,2
231.0,31
444.0,16
2850.0,1
390.0,8
203.0,46
446.0,12
501.0,9
392.0,12
996.0,2
2663.0,1
1307.0,1
227.0,39
46.0,373
221.0,37
509.0,5
511.0,6
223.0,41
