in_degree,out_degree,total_degree,CredCount
124,0,124,0
9,0,9,0
0,4,4,9
32,0,32,0
28,0,28,0
0,288,288,18
58,0,58,0
0,76,76,1
827,0,827,0
4,255,259,38
0,324,324,67
0,176,176,52
48,0,48,0
0,12,12,104
29,0,29,0
0,223,223,16
101,0,101,0
0,338,338,211
253,0,253,0
45,27,72,87
21,0,21,0
0,273,273,67
282,0,282,0
0,82,82,10
11,0,11,0
0,318,318,12
15,0,15,0
0,176,176,12
475,0,475,0
0,28,28,4
5,0,5,0
0,151,151,248
35,0,35,0
0,2644,2644,28
2345,0,2345,0
0,2132,2132,38
580,0,580,0
0,770,770,12
198,0,198,0
0,463,463,114
120,0,120,0
0,534,534,40
53,0,53,0
0,69,69,123
1,0,1,0
0,130,130,23
361,0,361,0
0,80,80,26
23,0,23,0
0,33,33,41
52,0,52,0
0,1014,1014,13
551,0,551,0
0,77,77,22
57,0,57,0
0,17,17,35
13,0,13,0
0,370,370,27
184,0,184,0
0,77,77,16
141,0,141,0
0,121,121,14
0,1506,1506,51
879,0,879,0
0,117,117,41
105,0,105,0
0,114,114,16
21,0,21,0
0,2,2,5
8,0,8,0
0,48,48,22
9,0,9,0
48,0,48,0
0,377,377,116
332,0,332,0
4,0,4,0
0,69,69,3
165,0,165,0
1,0,1,0
0,176,176,40
170,0,170,0
0,789,789,5
715,0,715,0
0,44,44,31
29,0,29,0
0,3,3,10
88,0,88,0
271,0,271,0
0,46,46,5
825,0,825,0
63,0,63,0
0,104,104,66
94,0,94,0
0,1297,1297,98
1270,0,1270,0
0,108,108,51
459,0,459,0
0,1165,1165,17
1084,0,1084,0
0,2087,2087,75
1155,0,1155,0
0,2292,2292,25
902,0,902,0
0,485,485,51
48,0,48,0
246,0,246,0
0,121,121,9
219,0,219,0
0,777,777,5
1368,0,1368,0
0,103,103,35
262,0,262,0
0,175,175,9
0,806,806,61
155,0,155,0
1069,0,1069,0
0,47,47,91
0,274,274,45
35,0,35,0
0,89,89,14
9,0,9,0
0,401,401,9
386,0,386,0
0,113,113,218
85,0,85,0
0,457,457,197
2,0,2,0
0,298,298,37
68,0,68,0
0,79,79,16
9,0,9,0
7,0,7,0
0,288,288,9
73,0,73,0
0,505,505,5
111,0,111,0
2,240,242,14
13,0,13,0
0,668,668,38
644,0,644,0
0,19,19,1
145,0,145,0
0,357,357,14
0,592,592,5
981,0,981,0
35,0,35,0
0,5,5,14
0,112,112,151
0,659,659,110
1,0,1,0
62,0,62,0
99,0,99,0
0,353,353,103
18,0,18,0
0,72,72,62
0,328,328,59
769,0,769,0
3,0,3,0
0,28,28,26
96,0,96,0
0,84,84,17
4,0,4,0
0,132,132,36
5,0,5,0
1,0,1,0
0,21,21,19
9,0,9,0
0,178,178,19
95,0,95,0
0,565,565,58
382,0,382,0
0,342,342,16
342,0,342,0
0,879,879,60
345,0,345,0
0,299,299,26
1,0,1,0
0,77,77,28
163,0,163,0
0,549,549,3
2365,0,2365,0
1,61,62,9
35,0,35,0
0,412,412,36
166,0,166,0
0,1905,1905,22
1908,0,1908,0
2,0,2,0
27,0,27,0
0,15,15,7
10,0,10,0
0,1693,1693,44
1013,0,1013,0
0,469,469,21
224,0,224,0
21,0,21,0
0,128,128,3
171,0,171,0
0,268,268,0
75,0,75,0
0,1237,1237,130
550,0,550,0
0,142,142,20
1,0,1,0
0,469,469,48
329,0,329,0
142,0,142,0
0,238,238,58
428,0,428,0
0,109,109,55
205,0,205,0
0,126,126,60
2,0,2,0
0,75,75,57
347,0,347,0
0,1105,1105,64
975,0,975,0
0,45,45,73
31,0,31,0
0,110,110,0
31,0,31,0
0,5,5,20
174,0,174,0
0,732,732,92
46,0,46,0
0,171,171,146
134,0,134,0
0,110,110,8
75,0,75,0
0,149,149,46
78,0,78,0
0,465,465,27
109,0,109,0
0,355,355,109
2309,0,2309,0
0,69,69,26
23,0,23,0
0,84,84,2
122,0,122,0
38,0,38,0
0,131,131,19
34,0,34,0
0,12,12,6
1,0,1,0
0,17,17,33
10,0,10,0
0,150,150,5
